,accuracy,loss,val_accuracy,val_loss
0,0.8446758985519409,0.514401376247406,0.9629629850387573,0.1267874538898468
1,0.9377777576446533,0.2039356529712677,0.9696296453475952,0.09491302818059921
2,0.954537034034729,0.1442880779504776,0.9792592525482178,0.07238506525754929
3,0.9626851677894592,0.11794108897447586,0.9781481623649597,0.07731841504573822
4,0.9689351916313171,0.09865865856409073,0.9798148274421692,0.07147786766290665
5,0.9695833325386047,0.08900021761655807,0.9811111092567444,0.07014502584934235
6,0.9743055701255798,0.07658307999372482,0.980555534362793,0.07017836719751358
7,0.980138897895813,0.060786325484514236,0.9811111092567444,0.073849618434906
8,0.9816666841506958,0.05608421564102173,0.9798148274421692,0.09195107221603394
9,0.9806944727897644,0.05486941710114479,0.9809259176254272,0.06736059486865997
10,0.9825462698936462,0.049766670912504196,0.9820370078086853,0.0741468220949173
11,0.9844444394111633,0.042977120727300644,0.9812963008880615,0.0727013424038887
12,0.9834259152412415,0.045035652816295624,0.9816666841506958,0.06909426301717758
13,0.9866203665733337,0.038398947566747665,0.9827777743339539,0.07786179333925247
14,0.987407386302948,0.038325440138578415,0.9831481575965881,0.07726950198411942
